sm: 15, warp_id: 0, block (0, 5, 7), thread (0, 0, 0), mem start: 192, mem time: 384
sm: 16, warp_id: 1, block (0, 0, 1), thread (0, 0, 1), mem start: 192, mem time: 192
sm: 16, warp_id: 0, block (0, 0, 1), thread (0, 0, 0), mem start: 160, mem time: 416
sm: 16, warp_id: 2, block (0, 0, 1), thread (0, 0, 2), mem start: 224, mem time: 160
sm: 16, warp_id: 3, block (0, 0, 1), thread (0, 0, 3), mem start: 256, mem time: 128
sm: 17, warp_id: 1, block (0, 6, 7), thread (0, 0, 1), mem start: 224, mem time: 160
sm: 17, warp_id: 0, block (0, 6, 7), thread (0, 0, 0), mem start: 192, mem time: 352
sm: 17, warp_id: 2, block (0, 6, 7), thread (0, 0, 2), mem start: 224, mem time: 160
sm: 17, warp_id: 3, block (0, 6, 7), thread (0, 0, 3), mem start: 256, mem time: 96
sm: 18, warp_id: 3, block (0, 1, 1), thread (0, 0, 3), mem start: 128, mem time: 160
sm: 18, warp_id: 2, block (0, 1, 1), thread (0, 0, 2), mem start: 128, mem time: 160
sm: 18, warp_id: 1, block (0, 1, 1), thread (0, 0, 1), mem start: 96, mem time: 192
sm: 18, warp_id: 0, block (0, 1, 1), thread (0, 0, 0), mem start: 64, mem time: 384
sm: 19, warp_id: 1, block (0, 7, 7), thread (0, 0, 1), mem start: 96, mem time: 192
sm: 19, warp_id: 0, block (0, 7, 7), thread (0, 0, 0), mem start: 64, mem time: 384
sm: 19, warp_id: 2, block (0, 7, 7), thread (0, 0, 2), mem start: 128, mem time: 160
sm: 19, warp_id: 3, block (0, 7, 7), thread (0, 0, 3), mem start: 128, mem time: 160
sm: 20, warp_id: 3, block (0, 2, 1), thread (0, 0, 3), mem start: 64, mem time: 160
sm: 20, warp_id: 0, block (0, 2, 1), thread (0, 0, 0), mem start: 32, mem time: 320
sm: 20, warp_id: 1, block (0, 2, 1), thread (0, 0, 1), mem start: 32, mem time: 192
sm: 20, warp_id: 2, block (0, 2, 1), thread (0, 0, 2), mem start: 32, mem time: 192
sm: 22, warp_id: 2, block (0, 3, 1), thread (0, 0, 2), mem start: 224, mem time: 128
sm: 22, warp_id: 3, block (0, 3, 1), thread (0, 0, 3), mem start: 224, mem time: 128
sm: 22, warp_id: 0, block (0, 3, 1), thread (0, 0, 0), mem start: 192, mem time: 352
sm: 22, warp_id: 1, block (0, 3, 1), thread (0, 0, 1), mem start: 192, mem time: 160
sm: 24, warp_id: 0, block (0, 4, 1), thread (0, 0, 0), mem start: 0, mem time: 352
sm: 24, warp_id: 1, block (0, 4, 1), thread (0, 0, 1), mem start: 32, mem time: 160
sm: 24, warp_id: 2, block (0, 4, 1), thread (0, 0, 2), mem start: 32, mem time: 160
sm: 24, warp_id: 3, block (0, 4, 1), thread (0, 0, 3), mem start: 64, mem time: 128
sm: 26, warp_id: 2, block (0, 5, 1), thread (0, 0, 2), mem start: 192, mem time: 160
sm: 26, warp_id: 1, block (0, 5, 1), thread (0, 0, 1), mem start: 192, mem time: 160
sm: 26, warp_id: 3, block (0, 5, 1), thread (0, 0, 3), mem start: 224, mem time: 128
sm: 26, warp_id: 0, block (0, 5, 1), thread (0, 0, 0), mem start: 160, mem time: 352
sm: 28, warp_id: 2, block (0, 6, 1), thread (0, 0, 2), mem start: 224, mem time: 192
sm: 28, warp_id: 1, block (0, 6, 1), thread (0, 0, 1), mem start: 224, mem time: 192
sm: 28, warp_id: 3, block (0, 6, 1), thread (0, 0, 3), mem start: 256, mem time: 160
sm: 28, warp_id: 0, block (0, 6, 1), thread (0, 0, 0), mem start: 224, mem time: 352
sm: 30, warp_id: 3, block (0, 7, 1), thread (0, 0, 3), mem start: 224, mem time: 192
sm: 30, warp_id: 0, block (0, 7, 1), thread (0, 0, 0), mem start: 192, mem time: 384
sm: 30, warp_id: 1, block (0, 7, 1), thread (0, 0, 1), mem start: 224, mem time: 192
sm: 30, warp_id: 2, block (0, 7, 1), thread (0, 0, 2), mem start: 224, mem time: 192
sm: 32, warp_id: 1, block (0, 0, 2), thread (0, 0, 1), mem start: 96, mem time: 192
sm: 32, warp_id: 0, block (0, 0, 2), thread (0, 0, 0), mem start: 96, mem time: 384
sm: 32, warp_id: 2, block (0, 0, 2), thread (0, 0, 2), mem start: 96, mem time: 192
sm: 32, warp_id: 3, block (0, 0, 2), thread (0, 0, 3), mem start: 128, mem time: 160
sm: 34, warp_id: 3, block (0, 1, 2), thread (0, 0, 3), mem start: 64, mem time: 192
sm: 34, warp_id: 2, block (0, 1, 2), thread (0, 0, 2), mem start: 64, mem time: 192
sm: 34, warp_id: 1, block (0, 1, 2), thread (0, 0, 1), mem start: 64, mem time: 192
sm: 34, warp_id: 0, block (0, 1, 2), thread (0, 0, 0), mem start: 64, mem time: 352
sm: 36, warp_id: 1, block (0, 2, 2), thread (0, 0, 1), mem start: 224, mem time: 192
sm: 36, warp_id: 0, block (0, 2, 2), thread (0, 0, 0), mem start: 224, mem time: 352
sm: 36, warp_id: 2, block (0, 2, 2), thread (0, 0, 2), mem start: 224, mem time: 192
sm: 36, warp_id: 3, block (0, 2, 2), thread (0, 0, 3), mem start: 256, mem time: 160
sm: 38, warp_id: 1, block (0, 3, 2), thread (0, 0, 1), mem start: 32, mem time: 192
sm: 38, warp_id: 0, block (0, 3, 2), thread (0, 0, 0), mem start: 32, mem time: 352
sm: 38, warp_id: 2, block (0, 3, 2), thread (0, 0, 2), mem start: 64, mem time: 160
sm: 38, warp_id: 3, block (0, 3, 2), thread (0, 0, 3), mem start: 64, mem time: 160
sm: 40, warp_id: 2, block (0, 4, 2), thread (0, 0, 2), mem start: 192, mem time: 128
sm: 40, warp_id: 3, block (0, 4, 2), thread (0, 0, 3), mem start: 192, mem time: 128
sm: 40, warp_id: 0, block (0, 4, 2), thread (0, 0, 0), mem start: 160, mem time: 320
sm: 40, warp_id: 1, block (0, 4, 2), thread (0, 0, 1), mem start: 160, mem time: 160
sm: 42, warp_id: 1, block (0, 5, 2), thread (0, 0, 1), mem start: 160, mem time: 192
sm: 42, warp_id: 0, block (0, 5, 2), thread (0, 0, 0), mem start: 160, mem time: 352
sm: 42, warp_id: 2, block (0, 5, 2), thread (0, 0, 2), mem start: 192, mem time: 160
sm: 42, warp_id: 3, block (0, 5, 2), thread (0, 0, 3), mem start: 192, mem time: 160
